HUD frame time nsec:,18463000

Range Index,Elapsed Time, First Event,Last Event
0,107008,35,35
1,125376,49,49
2,344640,63,63
3,439456,77,77
4,165504,91,91
5,46784,105,105
6,24128,119,119
7,731136,132,132
8,110368,152,152
9,202304,171,171
10,261280,197,197
11,249440,207,207
12,251424,217,217
13,62880,227,227
14,15744,237,237
15,24096,247,247
16,34080,257,257
17,89504,283,283
18,89408,293,293
19,69984,303,303
20,49696,313,313
21,20032,323,323
22,9728,333,333
23,21952,343,343
24,33056,369,369
25,33056,379,379
26,37088,389,389
27,48352,399,399
28,19872,409,409
29,9984,419,419
30,20032,429,429
31,15008,455,455
32,15360,465,465
33,24096,475,475
34,41408,485,485
35,13056,495,495
36,6176,505,505
37,13696,515,515
38,624832,528,528
39,8081216,557,557
40,8201504,576,576
41,8284960,595,595
42,6176,604,604
43,106048,631,631

Range Index,Elapsed Time, First Event,Last Event
0,111520,35,35
1,123488,49,49
2,358208,63,63
3,448704,77,77
4,162752,91,91
5,46688,105,105
6,23968,119,119
7,732032,132,132
8,111488,152,152
9,203392,171,171
10,262560,197,197
11,252608,207,207
12,260224,217,217
13,65856,227,227
14,16928,237,237
15,32480,247,247
16,37632,257,257
17,85280,283,283
18,85344,293,293
19,70304,303,303
20,58880,313,313
21,19808,323,323
22,10624,333,333
23,22496,343,343
24,37824,369,369
25,37344,379,379
26,41376,389,389
27,47808,399,399
28,18976,409,409
29,9984,419,419
30,16736,429,429
31,15584,455,455
32,15648,465,465
33,24320,475,475
34,39392,485,485
35,13664,495,495
36,4096,505,505
37,16000,515,515
38,629504,528,528
39,8095680,557,557
40,8216928,576,576
41,8300832,595,595
42,6208,604,604
43,106144,631,631
